[2022-01-10 17:58:27,008][main_page.py 238][INFO]: 进入切片页
[2022-01-10 17:58:28,749][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 17:59:27,407][main_page.py 238][INFO]: 进入切片页
[2022-01-10 17:59:29,239][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 17:59:57,965][main_page.py 238][INFO]: 进入切片页
[2022-01-10 17:59:59,831][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 18:01:10,513][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:01:12,565][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 18:03:24,441][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:03:26,164][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 18:03:42,911][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:03:44,646][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 18:06:46,767][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:06:48,485][main.py 210][INFO]: 下拉列表，第0个
[2022-01-10 18:06:48,486][slice.py 59][ERROR]: 该组参数无推荐层厚
[2022-01-10 18:23:00,926][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:23:02,700][main.py 216][INFO]: 下拉列表，第0个
[2022-01-10 18:23:14,472][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:23:16,245][main.py 216][INFO]: 下拉列表，第1个
[2022-01-10 18:24:14,671][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:24:16,373][main.py 216][INFO]: 下拉列表，第1个
[2022-01-10 18:25:04,500][main_page.py 238][INFO]: 进入切片页
[2022-01-10 18:25:06,202][main.py 216][INFO]: 下拉列表，第1个
[2022-01-10 18:25:06,202][slice.py 95][ERROR]: 该组参数无自定义层厚
