LuxGeometry 2022.09.23
Welcome LuxGeometry 2022.03.03
GridTriangleMap::Construct prepare time = 0.112298
GridTriangleMap::Construct time = 0.134166
CheckSelfIntersection time: prepare = 0.142818
 intersect fid=41553, start(46203 -1 1 -1), end(46203 2e-06 0.999998 -1)
 intersect fid=41673, start(46392 0.998487 -1 0.001513), end(46392 0.998486 -1 0.001514)
 intersect fid=41674, start(46392 1 -1 -1), end(46392 0.998489 -1 0.001511)
 intersect fid=41842, start(46386 1 -1 -1), end(46386 0.999844 -1 0.000156)
 intersect fid=41861, start(46148 1 -1 -1), end(46148 0.999976 -1 2.4e-05)
 intersect fid=41863, start(46148 1 -1 -1), end(46148 0.999976 -1 2.4e-05)
 intersect fid=41881, start(46432 1 -1 -1), end(46432 0.999998 -1 2e-06)
 intersect fid=41892, start(46432 0.999998 -1 2e-06), end(46432 0.999998 -1 2e-06)
 intersect fid=41893, start(46432 1 -1 -1), end(46432 0.999998 -1 2e-06)
 intersect fid=49650, start(50493 1 -1 -1), end(50493 0.989352 0.010648 -1)
 intersect fid=49651, start(50493 0.989352 0.010648 -1), end(50493 0.968819 0.031181 -1)
 intersect fid=41959, start(45163 -1 -1 1), end(45163 4.8e-05 -1 0.999952)
 intersect fid=41966, start(43710 -1 1 -1), end(43710 2.3e-05 0.999977 -1)
 intersect fid=42024, start(46292 1 -1 -1), end(46292 0.999974 -1 2.6e-05)
 intersect fid=42115, start(43772 -1 1 -1), end(43772 6e-06 0.999994 -1)
 intersect fid=42120, start(43768 1 -1 -1), end(43768 0.999945 -1 5.5e-05)
 intersect fid=42129, start(46398 -1 1 -1), end(46398 9.8e-05 0.999902 -1)
 intersect fid=42131, start(46398 -1 1 -1), end(46398 9.8e-05 0.999902 -1)
 intersect fid=42162, start(46407 1 -1 -1), end(46407 0.999988 -1 1.2e-05)
 intersect fid=42165, start(46407 1 -1 -1), end(46407 0.999988 -1 1.2e-05)
 intersect fid=42166, start(46392 1 -1 -1), end(46392 0.998486 -1 0.001514)
 intersect fid=42215, start(46264 -1 1 -1), end(46264 4.1e-05 0.999959 -1)
 intersect fid=42287, start(46905 2.3e-05 0.999977 -1), end(46905 3.5e-05 0.999965 -1)
 intersect fid=42292, start(46292 1 -1 -1), end(46292 0.999974 -1 2.6e-05)
 intersect fid=42294, start(46905 -1 1 -1), end(46905 2.3e-05 0.999977 -1)
 intersect fid=42429, start(46334 0.999971 -1 2.9e-05), end(46334 0.999971 -1 2.9e-05)
 intersect fid=42444, start(46873 -1 1 -1), end(46873 3.9e-05 0.999961 -1)
 intersect fid=42447, start(46873 -1 1 -1), end(46873 9e-06 0.999991 -1)
 intersect fid=42556, start(46314 0.999989 -1 1.1e-05), end(46314 0.999989 -1 1.1e-05)
 intersect fid=42610, start(46852 1 -1 -1), end(46852 0.999978 -1 2.2e-05)
 intersect fid=42611, start(46852 1 -1 -1), end(46852 0.999978 -1 2.2e-05)
 intersect fid=42740, start(43825 1 -1 -1), end(43825 0.999974 -1 2.6e-05)
 intersect fid=42741, start(43825 1 -1 -1), end(43825 0.999975 -1 2.5e-05)
 intersect fid=42881, start(46353 1 -1 -1), end(46353 0.999959 -1 4.1e-05)
 intersect fid=42883, start(46353 1 -1 -1), end(46353 0.999959 -1 4.1e-05)
 intersect fid=42919, start(46128 -1 1 -1), end(46128 1.9e-05 0.999981 -1)
 intersect fid=42949, start(46334 1 -1 -1), end(46334 0.999971 -1 2.9e-05)
 intersect fid=42954, start(46334 1 -1 -1), end(46334 0.999971 -1 2.9e-05)
